SKU,Display Name,Real Name,Category,Purity,Single,Pack3,Pack5,Pack10,CAS,Formula,Size
BPC-157-10,BPC-157,BPC-157,Repair,99.4%,42,107,168,300,137525-51-0,C62H98N16O22,10mg
TB-500-5,TB-500,TB-500,Repair,99.1%,38,97,152,272,77591-33-4,C220H351N55O70,5mg
IPA-2,Ipamorelin,Ipamorelin,GH,99.7%,28,71,112,200,170851-70-4,C38H49N9O5,2mg
GHKCU-50,GHK-Cu,GHK-Cu,Repair,99.2%,34,87,136,244,89030-95-5,C14H24CuN6O4,50mg
SMX-30,Semax,Semax,Cognitive,99.0%,45,115,180,322,80714-61-0,C37H51N9O10S,30mg
CJC-ND-5,CJC-1295 (no DAC),CJC-1295 (no DAC),GH,99.3%,36,92,144,258,863288-34-0,C165H269N47O46,5mg
CJC-DAC-5,CJC-1295 (DAC),CJC-1295 (DAC),GH,99.3%,42,107,168,300,863288-34-0,C165H269N47O46,5mg
SEL-10,Selank,Selank,Cognitive,99.1%,48,122,192,344,129954-34-3,C33H57N11O9,10mg
GHRP6-5,GHRP-6,GHRP-6,GH,99.5%,32,82,128,230,87616-84-0,C46H56N12O6,5mg
AOD-2,AOD-9604,AOD-9604,Metabolic,99.0%,38,97,152,272,221231-10-3,C78H123N23O23S2,2mg
EPT-20,Epithalon,Epithalon,Longevity,99.2%,44,112,176,316,307297-39-8,C14H22N4O9,20mg
DSIP-5,DSIP,DSIP,Cognitive,99.3%,42,107,168,300,62568-57-4,C35H48N10O15,5mg
5A1MQ-50,5-Amino-1MQ,5-Amino-1MQ,Metabolic,99.1%,52,133,208,372,54013-02-8,C10H12N2,50mg
SER-10,Sermorelin,Sermorelin,GH,99.2%,40,102,160,286,86168-78-7,C149H246N44O42S,10mg
TES-5,Tesamorelin,Tesamorelin,GH,99.1%,52,133,208,372,218949-48-5,C221H366N72O67S,5mg
KPV-10,KPV,KPV,Repair,99.3%,38,97,152,272,N/A,C19H26N4O5,10mg
LL37-5,LL-37,LL-37,Immune,99.2%,58,148,232,416,154947-66-7,C205H340N60O53,5mg
TA1-5,Thymosin Alpha-1,Thymosin Alpha-1,Immune,99.4%,48,122,192,344,62304-98-7,C129H215N33O55,5mg
NAD-500,NAD+,NAD+,Longevity,99.0%,68,173,272,486,53-84-9,C21H27N7O14P2,500mg
GLUT-200,Glutathione,Glutathione,Longevity,99.0%,42,107,168,300,70-18-8,C10H17N3O6S,200mg
MOTSC-10,MOTS-C,MOTS-C,Metabolic,99.3%,64,163,256,460,N/A,C82H129N21O25S,10mg
SS31-10,SS-31 (Elamipretide),SS-31 (Elamipretide),Longevity,99.2%,78,199,312,560,736992-21-5,C32H49N9O5,10mg
FOXO4-10,FOXO4-DRI,FOXO4-DRI,Longevity,99.1%,95,242,380,680,N/A,N/A,10mg
KISS10-5,Kisspeptin-10,Kisspeptin-10,Hormone,99.2%,48,122,192,344,N/A,C63H83N17O14,5mg
MT2-10,Melanotan II,Melanotan II,Aesthetic,99.4%,32,82,128,230,121062-08-6,C50H69N15O9,10mg
GLP1SM-5,GLP-1 SM 5mg,Semaglutide,GLP Family,99.3%,85,216,340,612,910463-68-2,C187H291N45O59,5mg
GLP1SM-10,GLP-1 SM 10mg,Semaglutide,GLP Family,99.3%,140,357,560,1008,910463-68-2,C187H291N45O59,10mg
GLP2TZ-10,GLP-2 TZ 10mg,Tirzepatide,GLP Family,99.4%,38,97,152,272,2023788-19-2,C225H348N48O68,10mg
GLP2TZ-30,GLP-2 TZ 30mg,Tirzepatide,GLP Family,99.4%,95,242,380,680,2023788-19-2,C225H348N48O68,30mg
GLP2TZ-60,GLP-2 TZ 60mg,Tirzepatide,GLP Family,99.4%,180,459,720,1296,2023788-19-2,C225H348N48O68,60mg
GLP3RT-10,GLP-3 RT 10mg,Retatrutide,GLP Family,99.2%,55,140,220,396,2381089-83-2,C236H357N51O57,10mg
GLP3RT-20,GLP-3 RT 20mg,Retatrutide,GLP Family,99.2%,85,216,340,612,2381089-83-2,C236H357N51O57,20mg
GLP3RT-30,GLP-3 RT 30mg,Retatrutide,GLP Family,99.2%,125,319,500,900,2381089-83-2,C236H357N51O57,30mg
GLPCA-10,GLP-CA 10mg,Cagrilintide,GLP Family,99.2%,60,153,240,432,1415456-99-3,C185H284N50O58,10mg
GLPSR-5,GLP-SR 5mg,Survodutide,GLP Family,99.2%,95,242,380,684,N/A,N/A,5mg
KLOW-80,KLOW,KLOW Blend,Blend,99.2%,125,319,500,900,N/A,N/A,80mg
WOLV-10,WOLVERINE 10mg,BPC-157+TB-500,Blend,99.2%,65,166,260,468,N/A,N/A,10mg
WOLV-20,WOLVERINE 20mg,BPC-157+TB-500,Blend,99.2%,110,281,440,792,N/A,N/A,20mg
GLOW-70,GLOW,GHK-Cu+BPC-157+TB-500,Blend,99.2%,95,242,380,684,N/A,N/A,70mg
REGENO-30,REGENO,BPC-157+TB-500+Cartalax,Blend,99.2%,118,301,472,850,N/A,N/A,30mg
KLW2,KLW II,KLW II Premium,Blend,99.3%,165,421,660,1188,N/A,N/A,100mg
BACWATER-30,Bacteriostatic Water 30ml,Bac Water,Accessory,-,17,,,,,,30ml
SYRINGES-100,Insulin Syringes 29g x 100,Syringes,Accessory,-,24.99,,,,,,29g x 100
SWABS-200,Alcohol Swabs x 200,Swabs,Accessory,-,8.99,,,,,,200 ct
VIALS-5,Mixing Vials x 5,Vials,Accessory,-,12,,,,,,5 ct
